Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Yuri,497.261€,,,Athletic Club,95.0,32.0,2603.0,3.0,1.0,5.0,11.0,61.0,17.0,11.0,181.0,497.0,0.0,44.0,0.0,0.0,2.0,8.0,0.0,1.0,0.0,0.0
Raúl García,1.636.174€,,,Athletic Club,95.0,26.0,1684.0,1.0,3.0,2.0,19.0,24.0,17.0,6.0,120.0,279.0,0.0,19.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0
Diakhaby,3.034.163€,,,Valencia CF,94.0,35.0,1743.0,5.0,1.0,1.0,1.0,18.0,7.0,15.0,58.0,283.0,1.0,28.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0
Rodrygo,544.873€,,,Real Madrid,94.0,29.0,2013.0,1.0,0.0,0.0,0.0,98.0,7.0,4.0,132.0,166.0,0.0,32.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0
Joaquín F,979.482€,,,Real Valladolid,94.0,29.0,980.0,1.0,6.0,5.0,4.0,1.0,17.0,5.0,47.0,154.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvi Sánchez,510.510€,,,Cádiz CF,93.0,29.0,2076.0,1.0,0.0,0.0,0.0,107.0,0.0,3.0,144.0,176.0,0.0,36.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0
Munir,478.305€,,,Sevilla FC,93.0,29.0,1947.0,2.0,0.0,1.0,25.0,18.0,12.0,6.0,118.0,364.0,0.0,31.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0
Aleñá,553.324€,,,Getafe CF,93.0,34.0,837.0,4.0,2.0,2.0,4.0,6.0,14.0,13.0,61.0,121.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ángel,1.094.651€,,,Getafe CF,92.0,37.0,1414.0,2.0,2.0,4.0,17.0,1.0,22.0,8.0,77.0,266.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Milla,477.029€,,,Granada CF,92.0,37.0,1363.0,5.0,0.0,1.0,1.0,8.0,11.0,14.0,37.0,199.0,1.0,22.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
Óscar Duarte,839.563€,,,Levante UD,92.0,17.0,1258.0,1.0,1.0,6.0,17.0,15.0,20.0,3.0,103.0,157.0,0.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M Mauro,493.102€,,,Cádiz CF,92.0,36.0,2063.0,1.0,0.0,0.0,0.0,96.0,3.0,3.0,147.0,211.0,0.0,36.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Rochina,520.057€,,,Levante UD,91.0,30.0,1828.0,2.0,0.0,0.0,0.0,74.0,0.0,4.0,96.0,90.0,0.0,31.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Josema,506.542€,,,Elche CF,91.0,32.0,1406.0,0.0,1.0,2.0,17.0,6.0,30.0,7.0,150.0,321.0,0.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Yunus,493.147€,,,Valencia CF,91.0,37.0,1966.0,0.0,1.0,1.0,8.0,83.0,9.0,0.0,130.0,258.0,0.0,35.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Cucho Hernández,491.315€,,,Getafe CF,90.0,37.0,1531.0,1.0,0.0,2.0,4.0,10.0,31.0,3.0,96.0,217.0,0.0,25.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dani Calvo,535.925€,,,Elche CF,90.0,23.0,1474.0,2.0,3.0,1.0,7.0,7.0,29.0,11.0,85.0,304.0,0.0,17.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Sergi Enrich,481.677€,,,SD Eibar,90.0,36.0,1778.0,2.0,0.0,0.0,0.0,67.0,2.0,4.0,92.0,147.0,0.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Masip,482.745€,,,Real Valladolid,90.0,32.0,1402.0,3.0,0.0,0.0,2.0,5.0,7.0,17.0,64.0,189.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Luuk de Jong,688.814€,,,Sevilla FC,89.0,34.0,2250.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,204.0,375.0,0.0,40.0,0.0,76.0,0.0,3.0,0.0,0.0,0.0,0.0
Iván Villar,542.220€,,,RC Celta,89.0,38.0,1262.0,4.0,0.0,2.0,0.0,15.0,9.0,12.0,43.0,150.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Sancet,757.339€,,,Athletic Club,89.0,38.0,1779.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,163.0,271.0,0.0,30.0,0.0,48.0,1.0,1.0,0.0,0.0,1.0,0.0
Dani García,825.987€,,,Athletic Club,89.0,38.0,1032.0,2.0,2.0,2.0,1.0,6.0,18.0,6.0,52.0,154.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Vesga,606.626€,,,Athletic Club,88.0,35.0,1920.0,0.0,1.0,1.0,1.0,33.0,6.0,1.0,181.0,193.0,0.0,25.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0
Sergio Ramos,531.535€,,,Real Madrid,88.0,37.0,1720.0,0.0,1.0,2.0,0.0,35.0,8.0,5.0,142.0,240.0,0.0,24.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Sergi Guardiola,27.209.161€,,,Real Valladolid,88.0,16.0,1276.0,2.0,0.0,1.0,1.0,39.0,5.0,6.0,102.0,99.0,0.0,13.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
Enes Ünal,563.581€,,,Getafe CF,87.0,33.0,1793.0,1.0,2.0,3.0,7.0,16.0,25.0,12.0,66.0,314.0,1.0,22.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0
Mario,490.729€,,,Villarreal CF,87.0,30.0,1369.0,4.0,2.0,2.0,0.0,15.0,16.0,10.0,41.0,261.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0
Papu Gómez,764.005€,,,Sevilla FC,86.0,26.0,1852.0,0.0,2.0,4.0,10.0,42.0,12.0,4.0,91.0,240.0,0.0,21.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0
