Nombre,Precio,Media,Total_puntos,Equipo,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Alderete,1.059.029€,,,Getafe CF,33.0,13.0,568.0,0.0,1.0,0.0,0.0,40.0,3.0,0.0,35.0,80.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Fermin,5.126.213€,,,FC Barcelona,33.0,11.0,430.0,1.0,0.0,1.0,1.0,2.0,10.0,9.0,26.0,60.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Manu Sánchez,939.845€,,,RC Celta,32.0,14.0,772.0,0.0,1.0,2.0,5.0,19.0,4.0,0.0,59.0,118.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Álex Sola,579.724€,,,Deportivo Alavés,32.0,14.0,565.0,0.0,0.0,1.0,7.0,5.0,18.0,3.0,41.0,106.0,0.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Almeida,2.707.936€,,,Valencia CF,32.0,8.0,484.0,0.0,1.0,1.0,3.0,1.0,7.0,2.0,19.0,66.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brahim,3.335.477€,,,Real Madrid,32.0,14.0,181.0,1.0,0.0,1.0,7.0,0.0,6.0,3.0,12.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Callejon,1.026.876€,,,Granada CF,32.0,14.0,489.0,0.0,1.0,1.0,3.0,6.0,1.0,2.0,30.0,62.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Bordalas,472.022€,,,Getafe CF,32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ianis Hagi,744.802€,,,Deportivo Alavés,32.0,10.0,412.0,0.0,1.0,1.0,10.0,3.0,4.0,5.0,16.0,68.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Juan Iglesias,637.049€,,,Getafe CF,31.0,14.0,561.0,0.0,0.0,1.0,6.0,17.0,2.0,4.0,41.0,119.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Óliver Torres,654.008€,,,Sevilla FC,31.0,11.0,559.0,0.0,0.0,1.0,5.0,0.0,3.0,2.0,45.0,85.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Aleñá,931.034€,,,Getafe CF,31.0,14.0,563.0,1.0,1.0,1.0,6.0,5.0,2.0,4.0,37.0,77.0,0.0,12.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Portu,876.010€,,,Girona FC,31.0,13.0,287.0,1.0,0.0,1.0,6.0,0.0,2.0,4.0,17.0,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jose Arnaiz,606.307€,,,C.A. Osasuna,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Garcia Pimienta,476.252€,,,UD Las Palmas,30.0,10.0,596.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,48.0,66.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Savic,5.992.505€,,,Atlético de Madrid,30.0,14.0,680.0,1.0,0.0,1.0,0.0,25.0,2.0,1.0,31.0,65.0,0.0,11.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
Mitrovic,675.626€,,,Getafe CF,30.0,14.0,1035.0,0.0,1.0,2.0,1.0,41.0,3.0,0.0,50.0,80.0,0.0,27.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Chumi,477.674€,,,UD Almería,30.0,14.0,469.0,0.0,0.0,1.0,1.0,5.0,7.0,2.0,25.0,35.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Turrientes,500.613€,,,Real Sociedad,30.0,5.0,231.0,1.0,1.0,0.0,2.0,1.0,12.0,1.0,9.0,37.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moleiro,2.356.049€,,,UD Las Palmas,30.0,9.0,374.0,0.0,1.0,1.0,0.0,3.0,15.0,4.0,25.0,66.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
Amallah,1.213.402€,,,Valencia CF,30.0,10.0,422.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,48.0,50.0,0.0,9.0,0.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0
Guaita,1.836.450€,,,RC Celta,29.0,9.0,273.0,0.0,1.0,1.0,0.0,7.0,0.0,2.0,13.0,20.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aritz,636.197€,,,Real Sociedad,29.0,13.0,807.0,0.0,0.0,1.0,14.0,15.0,5.0,0.0,66.0,192.0,0.0,13.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Navas,1.975.664€,,,Sevilla FC,29.0,9.0,602.0,0.0,2.0,2.0,9.0,7.0,4.0,1.0,43.0,90.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Pedraza,2.619.716€,,,Villarreal CF,29.0,13.0,271.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,11.0,41.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Marc,530.527€,,,UD Las Palmas,29.0,14.0,319.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,11.0,51.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Abde,3.091.488€,,,Real Betis,29.0,13.0,368.0,1.0,0.0,0.0,1.0,0.0,11.0,2.0,14.0,85.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leo Baptistao,509.418€,,,UD Almería,29.0,12.0,502.0,2.0,0.0,0.0,0.0,7.0,1.0,6.0,24.0,88.0,0.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Juanlu,579.696€,,,Sevilla FC,29.0,10.0,340.0,0.0,2.0,0.0,7.0,7.0,9.0,1.0,24.0,66.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Carmona,508.309€,,,Getafe CF,28.0,10.0,482.0,1.0,1.0,0.0,2.0,5.0,2.0,2.0,36.0,71.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Luis Hernández,965.508€,,,Cádiz CF,28.0,7.0,542.0,1.0,0.0,0.0,0.0,20.0,0.0,1.0,29.0,75.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Gabbia,742.714€,,,Villarreal CF,28.0,13.0,478.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,26.0,35.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Rafa Marín,532.919€,,,Deportivo Alavés,28.0,13.0,546.0,0.0,0.0,0.0,0.0,25.0,1.0,1.0,45.0,57.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
Morlanes,620.350€,,,RCD Mallorca,28.0,13.0,360.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,38.0,36.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bebé,524.783€,,,Rayo Vallecano,28.0,14.0,78.0,2.0,0.0,0.0,3.0,0.0,7.0,4.0,7.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Rafa Mir,728.793€,,,Sevilla FC,28.0,13.0,189.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,9.0,31.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Giménez,4.524.060€,,,Atlético de Madrid,27.0,8.0,365.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,17.0,35.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Neva,545.356€,,,Granada CF,27.0,14.0,1211.0,0.0,1.0,4.0,10.0,30.0,0.0,0.0,71.0,175.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Antonio Puertas,516.747€,,,Granada CF,27.0,13.0,513.0,0.0,2.0,0.0,1.0,4.0,11.0,4.0,24.0,74.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Melendo,543.649€,,,Granada CF,27.0,14.0,764.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,43.0,78.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Camello,981.310€,,,Rayo Vallecano,27.0,13.0,510.0,0.0,1.0,1.0,0.0,2.0,4.0,5.0,20.0,60.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Dmitrovic,1.653.708€,,,Sevilla FC,26.0,12.0,450.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,39.0,45.0,0.0,9.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0
Lucas Vázquez,713.341€,,,Real Madrid,26.0,14.0,170.0,0.0,1.0,2.0,2.0,4.0,7.0,3.0,12.0,34.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Rubio,610.909€,,,Granada CF,26.0,8.0,559.0,1.0,0.0,0.0,0.0,24.0,1.0,1.0,45.0,71.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Dani García,529.673€,,,Athletic Club,26.0,12.0,400.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,27.0,33.0,0.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Kike Pérez,590.292€,,,Rayo Vallecano,26.0,13.0,380.0,1.0,0.0,0.0,1.0,4.0,2.0,4.0,26.0,73.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Sergio Ruiz,494.849€,,,Granada CF,26.0,14.0,630.0,0.0,0.0,1.0,1.0,10.0,4.0,0.0,57.0,78.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Luis Garcia,476.986€,,,Deportivo Alavés,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lekue,540.917€,,,Athletic Club,25.0,14.0,520.0,0.0,0.0,1.0,1.0,14.0,3.0,0.0,41.0,75.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Abner,840.282€,,,Real Betis,25.0,8.0,302.0,1.0,0.0,0.0,0.0,3.0,5.0,3.0,13.0,47.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nteka,1.456.052€,,,Rayo Vallecano,25.0,7.0,373.0,0.0,0.0,2.0,2.0,4.0,8.0,4.0,19.0,62.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Sandro,1.032.002€,,,UD Las Palmas,25.0,11.0,338.0,2.0,0.0,2.0,2.0,3.0,4.0,4.0,14.0,48.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Lamela,809.286€,,,Sevilla FC,25.0,14.0,437.0,0.0,0.0,0.0,0.0,3.0,2.0,9.0,11.0,44.0,0.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Larin,762.310€,,,RCD Mallorca,25.0,12.0,341.0,0.0,0.0,0.0,1.0,2.0,13.0,6.0,17.0,62.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pejiño,511.000€,,,UD Las Palmas,24.0,10.0,448.0,0.0,1.0,1.0,5.0,13.0,2.0,0.0,28.0,53.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Alberto Moreno,551.333€,,,Villarreal CF,24.0,11.0,804.0,0.0,0.0,0.0,0.0,44.0,0.0,1.0,36.0,61.0,0.0,20.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
Edgar,686.242€,,,UD Almería,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Francisco,533.788€,,,Rayo Vallecano,24.0,9.0,410.0,0.0,0.0,1.0,4.0,16.0,1.0,0.0,21.0,57.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Araujo,715.774€,,,UD Las Palmas,23.0,9.0,406.0,0.0,0.0,0.0,0.0,27.0,2.0,0.0,25.0,45.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aidoo,1.070.041€,,,RC Celta,23.0,12.0,652.0,0.0,1.0,1.0,3.0,13.0,0.0,0.0,41.0,107.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Juan Cruz,573.858€,,,C.A. Osasuna,23.0,10.0,208.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,6.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Douvikas,1.271.353€,,,RC Celta,22.0,14.0,529.0,0.0,0.0,0.0,3.0,13.0,9.0,0.0,43.0,83.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Maffeo,1.493.149€,,,RCD Mallorca,22.0,11.0,614.0,0.0,0.0,1.0,7.0,7.0,5.0,1.0,43.0,115.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gio González,493.015€,,,RCD Mallorca,22.0,14.0,833.0,0.0,0.0,0.0,5.0,11.0,3.0,2.0,57.0,121.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
William Carvalho,1.431.978€,,,Real Betis,22.0,8.0,196.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,25.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ander Herrera,564.443€,,,Athletic Club,22.0,8.0,479.0,0.0,0.0,0.0,3.0,4.0,9.0,4.0,34.0,65.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Yéremy Pino,2.530.686€,,,Villarreal CF,22.0,5.0,147.0,2.0,0.0,0.0,1.0,0.0,2.0,3.0,1.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Memphis,3.373.558€,,,Atlético de Madrid,22.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mendilibar,504.728€,,,Sevilla FC,22.0,10.0,673.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,40.0,99.0,0.0,14.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0
Torrente,530.242€,,,Granada CF,21.0,10.0,262.0,0.0,0.0,1.0,1.0,8.0,3.0,0.0,21.0,47.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Foulquier,538.148€,,,Valencia CF,21.0,12.0,587.0,0.0,0.0,0.0,1.0,22.0,1.0,0.0,41.0,78.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Cenk,754.672€,,,Valencia CF,21.0,4.0,360.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,28.0,19.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Luiz Felipe,13.325.245€,,,Real Betis,21.0,14.0,299.0,0.0,0.0,0.0,5.0,0.0,7.0,4.0,19.0,62.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Muniain,1.134.267€,,,Athletic Club,21.0,12.0,287.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,24.0,36.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guardado,521.281€,,,Real Betis,21.0,14.0,623.0,0.0,1.0,1.0,0.0,4.0,7.0,2.0,16.0,67.0,0.0,21.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Melero,601.397€,,,UD Almería,21.0,14.0,271.0,0.0,0.0,1.0,3.0,2.0,3.0,0.0,17.0,43.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Alkain,492.052€,,,Deportivo Alavés,21.0,12.0,755.0,0.0,0.0,1.0,11.0,7.0,9.0,0.0,37.0,146.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Alejo,511.683€,,,Cádiz CF,21.0,12.0,242.0,0.0,1.0,2.0,2.0,3.0,3.0,0.0,20.0,47.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ruibal,530.721€,,,Real Betis,21.0,14.0,272.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,14.0,51.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Amath,524.808€,,,RCD Mallorca,21.0,7.0,225.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,21.0,31.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
Vieites,488.324€,,,Real Betis,21.0,10.0,258.0,1.0,0.0,0.0,0.0,7.0,1.0,1.0,18.0,57.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Iker Muñoz,531.692€,,,C.A. Osasuna,21.0,10.0,367.0,1.0,1.0,0.0,0.0,7.0,7.0,1.0,9.0,65.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Sory Kaba,591.881€,,,UD Las Palmas,21.0,10.0,435.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,38.0,35.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Soumaré,1.273.116€,,,Sevilla FC,20.0,5.0,270.0,0.0,1.0,1.0,2.0,9.0,3.0,0.0,23.0,37.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sabaly,1.392.336€,,,Real Betis,20.0,14.0,424.0,1.0,0.0,0.0,0.0,20.0,3.0,1.0,16.0,41.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kaiky,530.368€,,,UD Almería,20.0,10.0,330.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,25.0,23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meré,488.209€,,,Cádiz CF,20.0,10.0,370.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,36.0,34.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fernando,690.178€,,,Sevilla FC,20.0,11.0,289.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,28.0,36.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Borja Iglesias,2.551.857€,,,Real Betis,20.0,13.0,277.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,8.0,30.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Mata,502.314€,,,Getafe CF,20.0,13.0,554.0,0.0,0.0,0.0,2.0,10.0,3.0,2.0,25.0,88.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Momo Cho,627.790€,,,Real Sociedad,20.0,13.0,239.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,17.0,51.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diedhiou,480.221€,,,Granada CF,20.0,12.0,74.0,0.0,1.0,1.0,0.0,2.0,4.0,3.0,5.0,33.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Óscar,790.616€,,,Getafe CF,20.0,10.0,216.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,19.0,46.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Jon Pacheco,490.217€,,,Real Sociedad,20.0,13.0,313.0,0.0,0.0,0.0,0.0,14.0,0.0,1.0,11.0,30.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Valery,490.684€,,,Girona FC,19.0,12.0,304.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,25.0,26.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Álex Fernández,522.861€,,,Cádiz CF,19.0,13.0,461.0,0.0,0.0,0.0,2.0,2.0,7.0,1.0,19.0,64.0,0.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Terrats,651.088€,,,Villarreal CF,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jagoba Arrasate,495.532€,,,C.A. Osasuna,19.0,10.0,308.0,0.0,1.0,1.0,2.0,2.0,5.0,1.0,18.0,53.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Akhomach,505.330€,,,Villarreal CF,18.0,14.0,162.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,16.0,25.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Guillamón,562.759€,,,Valencia CF,18.0,14.0,141.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,7.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Villalibre,554.121€,,,Athletic Club,18.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio González,485.166€,,,Cádiz CF,18.0,5.0,267.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,23.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canós,694.630€,,,Valencia CF,17.0,13.0,544.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,28.0,45.0,0.0,10.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Domingos Duarte,816.252€,,,Getafe CF,17.0,12.0,179.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0,22.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benavidez,498.424€,,,Deportivo Alavés,17.0,11.0,324.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,28.0,64.0,0.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Dotor,520.065€,,,RC Celta,17.0,14.0,323.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,26.0,39.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kike Barja,502.438€,,,C.A. Osasuna,17.0,11.0,234.0,0.0,0.0,0.0,3.0,1.0,8.0,2.0,16.0,53.0,0.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Javier Aguirre,494.557€,,,RCD Mallorca,17.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucas Pires,528.799€,,,Cádiz CF,17.0,9.0,429.0,1.0,0.0,0.0,6.0,10.0,6.0,2.0,33.0,75.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Mandi,587.957€,,,Villarreal CF,16.0,13.0,466.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,27.0,29.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
Sergi Roberto,651.806€,,,FC Barcelona,16.0,9.0,189.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,16.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imanol,550.521€,,,Athletic Club,16.0,14.0,259.0,0.0,0.0,0.0,5.0,5.0,3.0,0.0,23.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comesaña,696.074€,,,Villarreal CF,16.0,14.0,317.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,22.0,41.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Pablo Torre,571.296€,,,Girona FC,16.0,12.0,93.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Falcao,505.346€,,,Rayo Vallecano,16.0,14.0,221.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,31.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ben Brereton,735.521€,,,Villarreal CF,16.0,6.0,349.0,0.0,0.0,0.0,2.0,7.0,7.0,0.0,21.0,35.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alti,467.985€,,,Villarreal CF,16.0,7.0,177.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,33.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zakharyan,957.474€,,,Real Sociedad,16.0,6.0,363.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,17.0,72.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Diao,2.666.449€,,,Real Betis,15.0,14.0,580.0,0.0,0.0,0.0,2.0,7.0,3.0,0.0,43.0,96.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Jaume Costa,572.369€,,,RCD Mallorca,15.0,13.0,229.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,15.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Heyden,530.186€,,,RCD Mallorca,15.0,5.0,130.0,0.0,0.0,1.0,2.0,4.0,5.0,0.0,10.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Suárez,826.190€,,,Villarreal CF,15.0,12.0,408.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,35.0,41.0,0.0,8.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0
Mascarell,596.668€,,,RCD Mallorca,15.0,14.0,48.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,5.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swedberg,489.537€,,,RC Celta,15.0,14.0,188.0,0.0,0.0,0.0,2.0,1.0,4.0,1.0,8.0,35.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lázaro,499.342€,,,UD Almería,15.0,9.0,143.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,15.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hugo Sotelo,547.669€,,,RC Celta,15.0,5.0,166.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,14.0,36.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
