Nombre,Precio,Media,Total_puntos
D. Lukébakio,↓ 6.389.000,"4,7",47
R. Martí,↑ 6.094.000,"3,8",50
J. Miranda,↑ 6.009.000,"3,3",33
P. Espino,↑ 5.934.000,"3,9",55
Á. Berenguer,↓ 5.897.000,"3,8",49
Ó. Valentín,↑ 5.887.000,"4,5",59
A. Christensen,↓ 5.876.000,"3,3",36
A. Oroz,↓ 5.792.000,"4,1",58
F. López,↓ 5.726.000,"4,8",43
G. Paulista,↑ 5.707.000,"3,6",40
M. Gómez,5.568.000,"4,1",37
I. Zubeldia,↑ 5.514.000,"4,1",53
J. Navas,↓ 5.487.000,"2,5",30
C. Starfelt,↑ 5.403.000,"4,2",55
A. Moleiro,↑ 5.305.000,"6,0",30
A. Guevara,↑ 5.260.000,"4,3",60
E. García,↑ 5.169.000,"4,1",45
M. Uzuni,↓ 5.112.000,"4,7",66
R. Albiol,↑ 5.111.000,"3,5",42
S. Coco,↑ 5.081.000,"4,7",52
A. Muñoz,↓ 5.004.000,"3,4",48
G. Gumbau,↓ 4.991.000,"4,1",53
C. Mosquera,↑ 4.936.000,"3,6",43
D. Machís,↓ 4.883.000,"3,5",42
J. Guridi,↓ 4.873.000,"4,8",63
F. Mendy,↑ 4.853.000,"2,9",20
É. Capoue,↓ 4.743.000,"3,3",46
E. Ávila,↓ 4.712.000,"2,2",26
M. Vesga,↑ 4.667.000,"4,2",46
A. Diao,↓ 4.662.000,"5,6",39
M. El Haddadi,↓ 4.649.000,"3,2",45
M. Depay,↑ 4.640.000,"5,4",27
F. Pérez,↓ 4.627.000,"4,3",60
L. Ramazani,↑ 4.512.000,"4,7",66
A. Martínez,↑ 4.478.000,"3,2",32
A. Ferreira,↓ 4.369.000,"3,8",42
A. Catena,↑ 4.318.000,"3,6",47
B. Díaz,↑ 4.277.000,"3,4",31
G. Villar,↓ 4.254.000,"4,1",53
J. Giménez,↑ 4.235.000,"3,5",28
D. Rodríguez,↓ 4.207.000,"3,6",50
Y. Berchiche,↓ 4.166.000,"4,8",38
L. Torró,↓ 4.159.000,"3,8",42
N. Gudelj,↓ 4.099.000,"4,0",40
A. Pedrosa,↑ 4.055.000,"3,6",40
H. Bellerín,↓ 4.041.000,"3,2",32
C. Riad,↑ 4.017.000,"3,9",35
P. Maffeo,↓ 3.947.000,"2,3",23
Á. Correa,↓ 3.934.000,"4,9",49
D. Suárez,↑ 3.891.000,"3,8",45
O. Romeu,↓ 3.857.000,"2,6",34
A. Ezzalzouli,↓ 3.846.000,"3,5",42
M. Valjent,↑ 3.822.000,"3,4",47
J. Mojica,↑ 3.735.000,"3,7",37
S. Herrera,↓ 3.728.000,"3,7",41
F. García,↓ 3.668.000,"2,9",29
I. Hagi,↓ 3.624.000,"3,7",37
L. Maximiano,↑ 3.621.000,"3,4",37
A. Prats,↑ 3.568.000,"5,4",59
D. Sow,↓ 3.533.000,"3,9",39
U. Sadiq,↑ 3.406.000,"2,6",31
R. Alcaraz,↑ 3.331.000,"4,8",63
P. Ciss,↓ 3.247.000,"3,9",51
M. Perrone,↓ 3.030.000,"3,4",37
C. Larin,↑ 2.975.000,"2,9",38
O. Alderete,↑ 2.897.000,"4,4",40
C. Stuani,↑ 2.834.000,"3,9",54
I. Balliu,↑ 2.752.000,"3,8",45
S. Savić,↓ 2.705.000,"3,9",31
M. Sánchez,↑ 2.684.000,"3,6",40
V. Guaita,↑ 2.585.000,"4,0",20
K. García,↓ 2.510.000,"4,1",57
A. Blanco,↑ 2.407.000,"3,0",36
M. Acuña,↓ 2.343.000,"2,4",17
C. Azpilicueta,↓ 2.311.000,"3,6",36
Y. Pino,↓ 2.292.000,"3,7",26
A. Gorosabel,↓ 2.285.000,"3,3",46
R. Duarte,↓ 2.272.000,"4,1",49
J. Latasa,↑ 2.207.000,"3,6",50
Ø. Nyland,↓ 2.193.000,"4,3",30
A. Mumin,↑ 2.189.000,"4,0",24
J. López,↑ 2.163.000,"4,3",43
A. Paredes,↑ 2.153.000,"3,1",43
B. Soumaré,↓ 2.141.000,"2,9",20
D. Djené,↓ 2.075.000,"3,3",39
L. Henrique,↑ 2.061.000,"3,4",27
J. Muñoz,↑ 2.056.000,"2,9",41
M. Dmitrović,↑ 1.990.000,"3,0",15
A. Raíllo,↑ 1.987.000,"5,8",23
I. Miquel,↓ 1.947.000,"3,2",45
Ó. Trejo,↑ 1.947.000,"3,2",41
L. Milla,↑ 1.936.000,"4,7",14
A. Güler,↓ 1.933.000,"0,0",0
F. Giménez,↑ 1.931.000,"4,2",55
C. Bravo,↓ 1.921.000,"4,0",28
R. de Tomás,↓ 1.898.000,"2,3",25
B. Iglesias,↓ 1.887.000,"2,6",21
J. Hernández,↓ 1.884.000,"3,7",52
J. Araujo,↓ 1.876.000,"3,3",39
S. Amallah,↓ 1.852.000,"2,6",23
J. Moncayola,↓ 1.840.000,"3,3",39
A. Pedraza,↑ 1.815.000,"2,6",23
L. Baptistão,↓ 1.753.000,"3,2",35
É. Militão,↓ 1.702.000,"5,0",5
R. García,↓ 1.697.000,"4,0",44
E. Loiodice,↑ 1.685.000,"3,5",49
N. Fernández,↑ 1.685.000,"2,3",21
I. Carcelén,↓ 1.676.000,"3,0",39
M. Park,↑ 1.643.000,"3,7",37
R. Peña,↓ 1.633.000,"3,3",40
L. de la Torre,↑ 1.590.000,"3,3",39
W. Carvalho,↓ 1.570.000,"2,9",20
A. Embarba,↑ 1.562.000,"3,0",39
A. Sánchez,↓ 1.525.000,"3,8",34
A. Lunin,↑ 1.509.000,"7,0",28
A. Abqar,↑ 1.483.000,"3,4",37
Á. Sola,↓ 1.394.000,"3,6",43
J. Cuenca,↑ 1.390.000,"4,5",36
R. Silva,↑ 1.327.000,"3,4",17
J. Areso,↑ 1.325.000,"2,8",37
A. Elustondo,↑ 1.290.000,"4,0",20
R. Sánchez,↓ 1.269.000,"3,4",44
F. Beltrán,↑ 1.263.000,"3,4",47
S. Akieme,↑ 1.253.000,"4,1",45
Sandro,↑ 1.250.000,"4,8",24
M. Nastasić,↑ 1.201.000,"2,8",28
S. Camello,↓ 1.198.000,"2,9",32
A. Moreno,↓ 1.196.000,"2,5",25
R. Sanchez,↓ 1.179.000,"3,5",38
C. Neva,↓ 1.176.000,"2,9",40
J. Sánchez,↑ 1.169.000,"4,3",30
Í. Lekue,↑ 1.157.000,"2,8",25
S. Canós,↑ 1.153.000,"3,0",21
G. González,↓ 1.149.000,"3,4",41
R. Mandava,↑ 1.143.000,"0,0",0
Bebé,↓ 1.112.000,"3,6",36
I. Villar,↓ 1.102.000,"3,1",31
C. Aleñá,↓ 1.098.000,"3,2",41
F. Vieites,↑ 1.037.000,"5,0",15
S. Papastathopoulos,↓ 1.004.000,"0,0",0
Á. Fernández,↓ 1.003.000,"2,9",26
Ó. Torres,↑ 952.000,"2,4",24
J. Luis Morales,↑ 944.000,"3,8",34
L. Pires,↓ 942.000,"3,8",30
D. Lopy,↓ 941.000,"2,8",33
A. Rebbach,↑ 931.000,"3,7",37
M. Diakhaby,↑ 924.000,"3,9",31
A. Almeida,↓ 919.000,"3,3",26
A. Silva,↓ 913.000,"2,0",4
A. Hernández,↓ 899.000,"3,3",30
U. López,↑ 895.000,"3,9",47
J. Iglesias,↓ 874.000,"3,0",30
J. de Frutos,↑ 861.000,"3,0",39
I. Akhomach,↓ 859.000,"2,8",28
A. Rațiu,↓ 857.000,"3,3",10
C. Portu,↑ 853.000,"3,0",39
J. Ángel Carmona,↓ 849.000,"3,3",33
C. Fernández,↓ 838.000,"4,1",33
A. Altimira,↑ 826.000,"3,0",12
Chumi,↑ 785.000,"2,1",25
D. Ceballos,↑ 782.000,"2,8",11
E. Ünal,↓ 765.000,"0,0",0
S. Kaba,↓ 745.000,"2,7",30
R. Marín,↑ 740.000,"2,7",27
I. Peña,↑ 687.000,"5,0",5
C. Pérez,↓ 683.000,"2,6",13
E. Lamela,↓ 672.000,"4,4",31
É. González,↑ 665.000,"1,7",17
C. Dotor,↓ 645.000,"2,5",20
J. Mata,↓ 578.000,"2,2",26
T. Courtois,↓ 578.000,"0,0",0
J. Costa,↓ 563.000,"2,2",29
B. Ocampo,↑ 561.000,"1,5",3
D. García,↓ 521.000,"2,8",28
G. Melero,↓ 515.000,"2,6",34
K. Tierney,↓ 509.000,"4,0",16
M. Cardona,↓ 504.000,"3,9",35
L. Hernández,↓ 502.000,"5,0",35
A. Douvikas,↓ 501.000,"3,1",31
G. Escalante,↓ 492.000,"2,1",23
Ó. Rodríguez,↑ 406.000,"2,7",19
R. Torrente,↓ 400.000,"2,2",20
D. Gil,↑ 397.000,"3,5",7
A. Sedlar,↓ 379.000,"4,0",44
L. Vázquez,↑ 358.000,"1,8",16
L. Suárez,↓ 325.000,"5,8",46
Fernando,↑ 325.000,"2,4",17
R. Kouamé,↓ 325.000,"2,7",16
A. Puertas,↓ 324.000,"2,1",27
K. Vázquez,↑ 314.000,"2,2",11
N. Paz,↑ 311.000,"1,0",1
M. Díaz,↓ 304.000,"1,0",4
Y. Gasiorowski,↑ 300.000,"0,0",0
M. Trigueros,↑ 298.000,"3,0",12
B. Turrientes,↑ 297.000,"2,8",25
I. Baba,↑ 284.000,"2,3",32
Á. Fernández,↑ 284.000,"2,3",23
A. Zakharyan,↑ 282.000,"2,6",21
F. Diédhiou,↑ 273.000,"2,6",18
K. Pérez,↓ 266.000,"3,1",34
T. Nianzou,↑ 266.000,"2,0",2
M. Gómez,↓ 263.000,"2,5",27
I. Muniain,↓ 259.000,"1,9",19
S. Roberto,↑ 247.000,"3,8",15
R. Nteka,↓ 246.000,"4,0",20
