Nombre_x,Precio_x,Media,Total_puntos,posicion,equipo,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
A. Silva,1058000,1.8,9,delantero,Real Sociedad de Fútbol,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Weissman,199000,1.8,9,delantero,Granada Club de Fútbol,7.0,51.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S. Weissman,199000,1.8,9,delantero,Granada Club de Fútbol,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. Gozálbez,182000,1.8,9,mediocentro,Valencia Club de Fútbol,10.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P. Gozálbez,182000,1.8,9,mediocentro,Valencia Club de Fútbol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. González,176000,1.5,9,mediocentro,Valencia Club de Fútbol,14.0,833.0,0.0,0.0,0.0,5.0,11.0,3.0,2.0,57.0,121.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
H. González,176000,1.5,9,mediocentro,Valencia Club de Fútbol,5.0,267.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,23.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. González,176000,1.5,9,mediocentro,Valencia Club de Fútbol,9.0,31.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. Mendes,160000,1.3,9,defensa,Unión Deportiva Almería,9.0,370.0,0.0,0.0,0.0,1.0,14.0,2.0,0.0,25.0,63.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
H. Mendes,160000,1.3,9,defensa,Unión Deportiva Almería,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Herrando,171000,2.7,8,defensa,Club Atlético Osasuna,,,,,,,,,,,,,,,,,,,,,
J. Jordan,161000,2.7,8,mediocentro,Sevilla Fútbol Club,,,,,,,,,,,,,,,,,,,,,
J. Zaldua,160000,2.0,8,defensa,Cádiz Club de Fútbol,,,,,,,,,,,,,,,,,,,,,
J. Cruz,160000,2.0,8,mediocentro,Real Betis Balompié,10.0,208.0,2.0,0.0,0.0,0.0,3.0,2.0,4.0,6.0,30.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Cruz,160000,2.0,8,mediocentro,Real Betis Balompié,11.0,65.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Cruz,160000,2.0,8,mediocentro,Real Betis Balompié,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Rodríguez,160000,1.1,8,delantero,Real Club Celta de Vigo,10.0,900.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,57.0,56.0,0.0,7.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
M. Rodríguez,160000,1.1,8,delantero,Real Club Celta de Vigo,14.0,625.0,3.0,0.0,2.0,3.0,4.0,7.0,6.0,27.0,96.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
M. Rodríguez,160000,1.1,8,delantero,Real Club Celta de Vigo,14.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,20.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
M. Rodríguez,160000,1.1,8,delantero,Real Club Celta de Vigo,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M. Adu Ares,175000,2.3,7,delantero,Athletic Club,,,,,,,,,,,,,,,,,,,,,
J. Ander Olasagasti,208000,1.8,7,mediocentro,Real Sociedad de Fútbol,12.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J. Ander Olasagasti,208000,1.8,7,mediocentro,Real Sociedad de Fútbol,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O. Mfulu,206000,1.4,7,mediocentro,Unión Deportiva Las Palmas,11.0,66.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,8.0,7.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
