Nombre,Puntos,Posicion,Precio
J. Bellingham,172.54773,mediocentro,24262000
A. Griezmann,124.60596,delantero,24384000
A. Budimir,99.97744,delantero,15660000
V. Muriqi,87.88983,delantero,12454000
B. Méndez,82.65294,mediocentro,15078000
J. Cancelo,82.53534,defensa,16261000
R. De Paul,82.12129,mediocentro,11692000
F. Valverde,81.56385,mediocentro,20115000
Ó. De Marcos,79.99974,defensa,6181000
J. Guerra,79.82345,mediocentro,8999000
