Nombre,Puntos,Posicion,Precio
J. Bellingham,172.54773,mediocentro,24262000
B. Méndez,82.65294,mediocentro,15078000
R. De Paul,82.12129,mediocentro,11692000
F. Valverde,81.56385,mediocentro,20115000
J. Guerra,79.82345,mediocentro,8999000
V. Tsygankov,77.19061,mediocentro,14504000
Y. Herrera,73.92142,mediocentro,11017000
D. Parejo,67.73711,mediocentro,11226000
G. Villar,63.918156,mediocentro,2550000
G. Gumbau,63.701683,mediocentro,4257000
