Nombre,Puntos,Posicion,Precio
J. Cancelo,82.53534,defensa,16261000
Ó. De Marcos,79.99974,defensa,6181000
A. Witsel,69.35733,defensa,10736000
M. Diakhaby,68.00784,defensa,1456000
D. Rico,65.18883,defensa,10002000
S. Cardona,63.72046,defensa,11393000
R. Marín,54.35159,defensa,2507000
M. Mármol,47.857677,defensa,10103000
G. González,40.531612,defensa,1026000
C. Azpilicueta,39.80656,defensa,1627000
