Nombre,Puntos,Posicion,Precio
D. Mariño,38.63272,portero,189000
R. Fernández,35.073925,portero,160000
A. López,32.381523,portero,164000
T. Courtois,0.9797249,portero,368000
P. Cuéllar,0.9797249,portero,187000
I. Grbić,0.9797249,portero,160000
J. Doménech,0.9797249,portero,160000
P. Reina,0.9797249,portero,160000
