Nombre,Puntos,Posicion,Precio
A. Griezmann,124.60596,delantero,24384000
A. Budimir,99.97744,delantero,15660000
V. Muriqi,87.88983,delantero,12454000
G. Moreno,79.11237,delantero,18341000
Sávio,68.37908,delantero,18030000
L. Ramazani,58.079525,delantero,3171000
J. Félix,56.785843,delantero,14964000
F. Torres,55.62803,delantero,8080000
M. Uzuni,53.412037,delantero,3324000
J. Luis Morales,51.22334,delantero,4457000
