Nombre,Precio,Media,Total_puntos,posicion,link_equipo
J. Mata,↓ 1.201.000,"2,8",44,4,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
D. Foulquier,↑ 849.000,"2,8",44,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
K. Salas,↓ 1.456.000,"4,3",43,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
M. Dmitrović,↓ 4.751.000,"3,6",43,1,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
R. Tapia,↑ 3.711.000,"3,6",43,3,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
J. Mojica,↑ 685.000,"3,6",43,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
B. Prados,1.336.000,"3,3",43,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
L. Vázquez,↓ 2.422.000,"3,1",43,2,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
K. Pérez,160.000,"2,9",43,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
P. Maffeo,↓ 3.892.000,"2,7",43,2,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
M. Morlanes,↑ 468.000,"2,5",43,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
Sandro,↑ 1.719.000,"4,2",42,4,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
K. Tierney,↑ 4.698.000,"3,8",42,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
G. Melero,↓ 163.000,"2,6",42,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
I. Baba,↓ 166.000,"2,5",42,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
F. García,↑ 4.279.000,"3,2",41,2,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
A. Martínez,↓ 1.122.000,"3,2",41,2,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
M. Cardona,↓ 160.000,"3,2",41,4,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
A. Vinícius,↑ 1.161.000,"2,9",41,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
Bebé,↑ 182.000,"2,9",41,4,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
E. Ávila,↓ 3.360.000,"2,4",41,4,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
M. Gómez,↓ 1.018.000,"2,4",41,4,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
S. Roberto,↑ 2.118.000,"6,7",40,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
S. Ramos,↑ 11.915.000,"3,6",40,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
J. Arnaiz,↑ 977.000,"3,3",40,4,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
S. Comesaña,↑ 546.000,"3,1",40,3,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
O. Alderete,↓ 263.000,"2,9",40,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
Ó. Torres,↑ 995.000,"2,7",40,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
Chumi,↓ 755.000,"2,2",40,2,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
A. Mumin,↓ 3.855.000,"3,9",39,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
M. Depay,↓ 3.739.000,"3,9",39,4,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
J. Giménez,↑ 2.412.000,"3,0",39,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
P. Torre,↑ 1.889.000,"3,0",39,3,https://cdn.gomister.com/file/cdn-common/teams/222.png?version=20240121
Á. Fernández,↓ 173.000,"2,4",39,3,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
J. Callejón,↑ 207.000,"2,3",39,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
A. Hernández,↑ 1.084.000,"3,5",38,2,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
L. Henrique,↑ 711.000,"3,2",38,4,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Zakharyan,↓ 700.000,"2,7",38,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
O. Romeu,↓ 383.000,"2,7",38,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
J. Ángel Carmona,↑ 251.000,"2,7",38,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
C. Fernández,↑ 166.000,"3,7",37,4,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
J. Miranda,↓ 1.545.000,"3,4",37,2,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
Ó. Rodríguez,↑ 280.000,"3,4",37,3,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
B. Turrientes,↑ 240.000,"2,8",37,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
R. de Tomás,↓ 1.157.000,"2,5",37,4,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
Í. Martínez,↓ 3.249.000,"4,5",36,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
L. Hernández,↓ 488.000,"4,0",36,2,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
O. Mascarell,↓ 201.000,"2,6",36,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
A. Moreno,↑ 1.040.000,"2,4",36,2,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
R. Terrats,↑ 197.000,"2,7",35,3,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
C. Benavídez,↑ 305.000,"2,3",35,3,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
Pejiño,↓ 160.000,"3,4",34,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
S. Mitrović,↓ 160.000,"3,1",34,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
L. Badé,↑ 5.099.000,"2,8",34,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
A. Ndiaye,↓ 160.000,"2,3",34,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
A. Puertas,↓ 162.000,"1,9",34,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
A. Elustondo,↑ 594.000,"3,7",33,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
C. Dotor,↑ 281.000,"2,8",33,3,https://cdn.gomister.com/file/cdn-common/teams/5.png?version=20240121
R. Falcao,↓ 170.000,"2,8",33,4,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
J. Navas,↑ 1.205.000,"2,5",33,2,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
Ó. Melendo,↑ 192.000,"2,4",33,3,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
R. Sobrino,↑ 187.000,"1,9",33,3,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
B. Soumaré,↓ 1.579.000,"2,7",32,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
E. Lamela,↑ 296.000,"4,4",31,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
M. Rubio,↑ 174.000,"3,9",31,2,https://cdn.gomister.com/file/cdn-common/teams/10.png?version=20240121
S. Savić,↓ 401.000,"3,1",31,2,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
