Nombre,Precio,Media,Total_puntos,posicion,link_equipo
A. Sivera,↓ 5.785.000,"4,0",83,1,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
M. Llorente,↓ 9.917.000,"4,3",82,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
H. Traoré,↓ 7.690.000,"4,3",82,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
D. Rodríguez,↑ 6.265.000,"4,1",82,3,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
L. Ramazani,↓ 2.549.000,"4,1",82,4,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
F. Pérez,↑ 3.062.000,"3,9",82,3,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
F. Torres,↑ 9.536.000,"4,5",81,4,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
F. Giménez,↓ 4.488.000,"4,1",81,2,https://cdn.gomister.com/file/cdn-common/teams/499.png?version=20240121
A. Paredes,↑ 6.838.000,"3,9",81,2,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
J. Muñoz,↑ 5.650.000,"3,9",81,3,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
J. Cancelo,↓ 15.655.000,"5,0",80,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
R. De Paul,↑ 12.155.000,"5,0",80,3,https://cdn.gomister.com/file/cdn-common/teams/2.png?version=20240121
A. Prats,↑ 2.700.000,"4,4",80,4,https://cdn.gomister.com/file/cdn-common/teams/408.png?version=20240121
A. Barrenetxea,↓ 9.195.000,"4,9",79,3,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
S. Herrera,↑ 7.615.000,"4,6",79,1,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
Ó. Valentín,↑ 5.621.000,"4,4",79,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
C. Mosquera,↑ 8.089.000,"4,1",78,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
Á. Berenguer,↑ 6.294.000,"3,9",78,3,https://cdn.gomister.com/file/cdn-common/teams/1.png?version=20240121
J. Luis Gayà,↑ 10.691.000,"5,1",77,2,https://cdn.gomister.com/file/cdn-common/teams/19.png?version=20240121
W. José,↓ 8.594.000,"4,5",77,4,https://cdn.gomister.com/file/cdn-common/teams/4.png?version=20240121
A. Baena,↑ 11.948.000,"4,3",77,3,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
A. Oroz,↑ 5.064.000,"3,9",77,3,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
A. Gorosabel,↑ 4.999.000,"3,7",77,2,https://cdn.gomister.com/file/cdn-common/teams/48.png?version=20240121
R. Araújo,↑ 14.803.000,"5,8",76,2,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
J. Félix,↑ 14.808.000,"4,8",76,4,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
L. Modrić,↑ 12.665.000,"4,8",76,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
I. Rakitić,↓ 13.847.000,"4,2",76,3,https://cdn.gomister.com/file/cdn-common/teams/17.png?version=20240121
R. Le Normand,↓ 10.870.000,"4,2",76,2,https://cdn.gomister.com/file/cdn-common/teams/16.png?version=20240121
D. Parejo,↓ 11.308.000,"4,0",76,3,https://cdn.gomister.com/file/cdn-common/teams/20.png?version=20240121
S. Coco,↓ 6.166.000,"4,7",75,2,https://cdn.gomister.com/file/cdn-common/teams/11.png?version=20240121
U. López,↑ 3.025.000,"4,2",75,3,https://cdn.gomister.com/file/cdn-common/teams/14.png?version=20240121
F. De Jong,↑ 18.088.000,"6,7",74,3,https://cdn.gomister.com/file/cdn-common/teams/3.png?version=20240121
B. Díaz,↑ 11.017.000,"5,3",74,3,https://cdn.gomister.com/file/cdn-common/teams/15.png?version=20240121
D. García,↓ 6.514.000,"3,9",74,2,https://cdn.gomister.com/file/cdn-common/teams/50.png?version=20240121
L. Robertone,↑ 7.716.000,"4,6",73,3,https://cdn.gomister.com/file/cdn-common/teams/21.png?version=20240121
G. Álvarez,↓ 6.923.000,"4,1",73,2,https://cdn.gomister.com/file/cdn-common/teams/9.png?version=20240121
