Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Kike García,C.A. Osasuna,1.506.027€,116,34,1857,5,1,3,6,11,13,21,71,316,0,30,0,0,0,2,0,1,0,0
Melero,Levante UD,1.511.502€,116,30,1696,7,2,1,0,23,12,11,103,189,0,39,0,0,0,5,0,0,0,0
Roger,Levante UD,1.509.325€,115,29,2124,7,3,4,1,8,13,22,49,244,2,42,0,0,0,8,0,1,0,0
Tete Morente,Elche CF,1.504.482€,115,37,1634,3,3,5,15,10,30,8,102,288,0,22,0,0,0,4,0,0,0,0
Koke,Atlético de Madrid,1.591.997€,115,32,2509,1,2,2,6,29,13,6,192,331,0,34,0,0,0,6,0,0,0,0
Hugo Duro,Valencia CF,1.575.570€,115,34,1854,7,1,0,1,17,13,17,65,228,0,28,0,0,1,2,1,2,0,0
Cunha,Atlético de Madrid,1.675.808€,114,29,1042,6,4,5,3,9,7,15,46,118,0,14,0,0,1,3,0,2,0,0
Yeray,Athletic Club,1.619.810€,113,28,1859,0,0,0,0,95,2,0,185,203,0,20,0,0,0,6,0,0,0,0
Roco,Elche CF,1.506.265€,113,35,2555,1,0,0,0,110,5,3,174,230,0,40,0,0,2,10,0,0,0,0
Carvajal,Real Madrid,13.539.643€,113,28,1551,1,3,4,9,33,9,2,117,213,0,13,0,0,1,1,0,0,0,0
Dani García,Athletic Club,1.515.763€,112,34,2191,0,0,1,1,36,4,3,158,250,0,22,0,0,0,9,0,0,0,0
Pedrosa,RCD Espanyol,1.507.280€,112,31,2723,1,1,2,16,86,48,7,188,455,0,40,0,0,0,8,0,0,0,1
Lucas Vázquez,Real Madrid,2.473.813€,112,37,1834,3,0,3,16,31,17,5,123,282,0,18,0,0,0,3,0,0,0,0
Germán,Granada CF,1.510.167€,111,34,2296,2,1,1,0,138,0,5,142,271,0,47,0,0,1,9,1,0,0,0
Loum,D. Alavés,1.503.606€,111,31,2286,2,0,0,1,65,24,8,189,316,0,41,0,0,0,10,0,0,0,0
Boulaye Dia,Villarreal CF,1.526.827€,110,29,1269,5,5,3,0,3,12,12,40,129,0,9,0,0,0,3,0,0,0,0
Pezzella,Real Betis,1.553.744€,109,29,1901,1,0,0,1,93,2,7,112,126,0,19,1,0,0,4,0,0,0,1
Aubameyang,FC Barcelona,55.491.521€,109,17,1092,11,1,3,0,3,4,19,19,101,0,10,0,0,0,0,0,0,0,0
Nacho Vidal,C.A. Osasuna,1.517.956€,108,36,2906,0,1,3,12,67,23,1,230,527,0,40,0,0,2,9,0,1,0,0
Nacho,Real Madrid,2.232.892€,108,36,1549,3,0,0,2,50,2,4,131,93,0,19,0,0,0,7,0,0,0,0
Machís,Granada CF,1.509.317€,108,30,1382,4,2,3,16,13,33,17,99,263,0,22,0,0,0,2,0,0,0,0
Lejeune,D. Alavés,1.505.437€,106,31,2609,0,0,0,0,151,2,3,186,273,0,50,0,0,2,7,1,0,0,0
Antonio Sanchez,RCD Mallorca,1.512.944€,106,35,1624,1,0,0,1,27,16,4,179,232,0,31,0,0,0,3,0,0,0,0
Ángel,RCD Mallorca,1.509.698€,106,33,1550,4,2,2,2,11,13,13,48,152,0,26,0,0,0,4,0,1,0,0
Rubén Duarte,D. Alavés,1.503.800€,106,34,2628,0,4,4,31,72,5,3,219,484,0,44,0,0,1,10,1,1,0,0
Navas,Sevilla FC,3.245.263€,105,25,1787,0,3,9,28,21,8,1,123,347,0,16,0,0,0,4,0,0,0,0
Josan,Elche CF,1.504.046€,104,38,1198,2,3,5,16,15,27,5,70,214,0,25,0,0,0,2,0,0,0,0
Foulquier,Valencia CF,1.506.207€,104,31,2520,0,1,2,12,45,23,5,197,392,0,37,0,0,1,11,0,1,0,0
Balliu,Rayo Vallecano,1.505.200€,103,35,3148,1,2,4,37,57,20,3,204,549,0,48,1,0,3,10,0,0,0,0
Cárdenas,Levante UD,1.521.982€,103,36,2160,0,0,0,0,24,0,0,164,230,0,46,0,74,0,3,0,0,0,0
Chust,Cádiz CF,1.504.988€,103,36,1820,0,0,0,0,83,3,2,139,133,0,27,0,0,2,2,0,0,0,0
Maxi Gómez,Valencia CF,1.517.719€,102,29,1961,5,1,3,4,22,5,15,52,246,0,28,0,0,0,5,1,1,0,0
Nteka,Rayo Vallecano,1.506.227€,101,34,1391,3,0,2,1,10,15,9,64,242,0,18,0,0,0,3,0,2,0,0
Mamardashvili,Valencia CF,1.533.581€,101,34,1530,0,0,0,0,17,0,0,137,209,0,20,0,51,0,2,0,0,0,0
Bardhi,Levante UD,1.510.035€,101,32,1701,3,3,3,25,4,37,11,106,345,0,44,0,0,1,3,0,0,0,0
Camavinga,Real Madrid,6.701.801€,100,34,1229,2,1,3,1,13,20,5,102,127,0,13,0,0,0,8,0,0,0,0
Moi Gómez,Villarreal CF,1.503.904€,100,37,1276,2,2,3,12,5,14,5,84,163,0,14,0,0,0,2,0,0,0,0
Pepelu,Levante UD,1.502.774€,100,34,2016,0,0,3,24,26,11,2,186,310,0,39,0,0,0,9,0,0,0,0
Eric García,FC Barcelona,1.650.812€,99,33,2041,0,0,0,0,46,1,4,136,134,0,20,1,0,1,5,0,0,0,0
Ferran Torres,FC Barcelona,43.245.762€,99,18,1418,4,4,7,0,5,13,19,48,188,0,11,0,0,0,1,0,0,0,0
Gumbau,Elche CF,1.505.513€,99,33,1889,0,4,3,36,23,7,3,126,264,0,34,1,0,0,8,0,0,0,0
Rober Pier,Levante UD,1.503.406€,98,36,2007,1,0,0,1,86,5,2,183,236,0,41,0,0,1,3,1,0,0,0
Guillamón,Valencia CF,1.507.019€,98,33,2364,1,0,0,1,46,9,2,198,275,0,40,1,0,0,8,1,0,0,1
Gayá,Valencia CF,3.936.131€,98,24,1874,2,4,5,25,33,16,9,126,288,0,32,1,0,1,6,1,1,0,0
Delaney,Sevilla FC,1.510.858€,97,26,1522,2,1,1,1,33,6,6,95,210,0,12,0,0,0,2,1,0,0,0
Dani Gómez,Levante UD,1.502.195€,97,33,1059,4,2,4,1,5,18,14,36,148,0,28,0,0,0,1,0,1,0,0
EnNesyri,Sevilla FC,3.739.982€,97,25,1279,5,1,2,0,19,4,15,30,118,0,5,0,0,0,1,0,1,0,0
Estupiñán,Villarreal CF,1.508.638€,96,37,1575,0,1,3,14,22,15,4,153,294,0,17,0,0,1,3,0,0,0,0
Lee KangIn,RCD Mallorca,1.503.128€,96,33,1410,1,2,4,13,4,38,16,83,283,0,27,0,0,0,1,1,0,0,1
Lamela,Sevilla FC,1.524.165€,95,21,1015,5,2,4,5,2,19,13,58,154,0,5,0,0,0,5,0,0,0,0
Raúl Guti,Elche CF,1.503.534€,95,36,1624,0,0,0,1,8,9,5,128,176,0,17,0,0,0,2,1,0,0,0
Pathé Ciss,Rayo Vallecano,1.508.774€,95,35,1086,2,1,0,0,27,10,6,134,115,0,15,0,0,1,5,0,0,0,1
Juan Cruz,C.A. Osasuna,1.503.354€,95,32,1935,0,0,0,1,54,11,0,141,200,0,27,0,0,0,4,0,0,0,0
Óliver Torres,Sevilla FC,1.506.176€,94,29,1005,2,3,3,6,4,15,6,95,182,0,16,0,0,0,2,0,0,0,0
Sorloth,Real Sociedad,1.671.585€,94,25,1387,3,0,5,0,12,26,11,43,210,0,14,0,0,0,2,0,1,0,0
Balenziaga,Athletic Club,1.512.304€,94,37,2028,0,0,0,7,71,6,2,144,283,0,23,0,0,0,2,0,0,0,0
Oscar,Getafe CF,1.503.906€,93,37,1358,0,1,2,22,11,24,11,85,234,0,11,0,0,0,3,0,0,0,0
Nico,FC Barcelona,1.555.644€,93,30,1102,2,1,1,2,12,33,4,68,142,0,9,0,0,0,5,0,0,0,0
Óscar Duarte,Levante UD,1.502.070€,93,33,1774,2,0,1,0,98,1,5,120,171,0,36,0,0,0,5,0,0,0,0
Galhardo,RC Celta,1.526.231€,92,32,1124,2,2,5,2,8,8,16,37,154,0,16,0,0,0,5,0,0,0,0
Sandro,Getafe CF,1.502.088€,92,30,1472,3,0,1,4,3,13,14,58,211,0,15,0,0,0,7,0,0,0,0
Nolito,RC Celta,1.502.247€,92,36,1383,2,0,4,2,2,12,9,83,194,0,20,0,0,1,1,0,0,0,0
Tecatito Corona,Sevilla FC,7.386.915€,91,18,1161,2,4,4,12,5,18,3,72,229,0,10,0,0,0,2,0,0,0,0
Bellerín,Real Betis,1.539.435€,91,28,1979,0,2,3,12,56,22,2,117,303,0,23,1,0,0,2,0,0,0,1
