Nombre,Equipo,Precio,Puntos,Partidos,Minutos,Goles,Asistencias,Asistencias sin Gol,Centros,Despejes,Remates,Tiros,Recuperaciones,Perdidas,Penaltis fallados,Goles en contra,Rojas,Paradas,Penaltis cometidos,Amarillas,Seguna Amarilla,Penaltis provocados,Penaltis parados,Goles en PP
Turrientes,Real Sociedad,1.068.424€,8,32,101,0,0,0,1,2,2,0,8,14,0,2,0,0,0,0,0,0,0,0
Montoya,Real Betis,1.072.527€,8,34,456,0,0,0,2,13,1,0,32,67,0,10,0,0,0,1,0,0,0,0
Jordan Amavi,Getafe CF,1.068.456€,7,27,198,0,0,0,1,4,0,0,18,49,0,2,0,0,0,0,1,0,0,0
Abner,Real Betis,1.102.495€,7,20,522,0,0,0,1,13,3,2,45,108,0,9,0,0,1,2,0,0,0,0
Angileri,Getafe CF,1.068.438€,7,30,583,0,0,0,1,9,4,0,26,120,0,15,1,0,1,2,0,0,0,0
Greif,RCD Mallorca,1.157.474€,6,25,90,0,0,0,0,0,0,0,10,15,0,3,0,5,0,0,0,0,0,0
Jörgensen,Villarreal CF,1.154.795€,6,16,180,0,0,0,0,2,0,0,11,6,0,3,0,3,0,0,0,0,0,0
Pablo Marín,Real Sociedad,1.070.231€,5,5,33,0,0,0,0,0,0,0,3,9,0,3,0,0,0,0,0,0,0,0
Swedberg,RC Celta,1.071.056€,5,38,52,0,0,0,0,1,1,0,2,5,0,0,0,0,0,1,0,0,0,0
Odriozola,Real Madrid,1.091.002€,5,32,36,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Augustinsson,RCD Mallorca,1.111.069€,5,10,130,0,0,0,2,2,0,0,14,22,0,4,0,0,0,0,0,0,0,0
Youba Diarra,Cádiz CF,1.076.527€,5,19,88,0,0,1,0,2,0,0,11,15,0,5,0,0,0,2,0,0,0,0
Werner,Elche CF,1.210.776€,4,32,180,0,0,0,0,0,1,0,12,18,0,4,0,5,0,0,0,0,0,0
Iñaki Peña,FC Barcelona,1.210.825€,4,22,72,0,0,0,0,0,0,0,8,2,0,2,0,2,0,0,0,0,0,0
Diego López,Rayo Vallecano,1.203.241€,3,32,95,0,0,0,0,1,0,0,9,7,0,4,0,1,0,0,0,0,0,0
