Nombre,Puntos,Posicion,Precio
J. Bellingham,169,mediocentro,24262000
I. Williams,132,delantero,18358000
M. Guiu,132,delantero,204000
B. Mayoral,127,delantero,16992000
A. Griezmann,125,delantero,24384000
T. Kubo,121,mediocentro,20904000
Pepelu,115,mediocentro,15714000
Rodrygo,115,delantero,19338000
N. Williams,115,mediocentro,17801000
Isco,113,mediocentro,19605000
