Nombre,Puntos,Posicion,Precio
Á. Valles,109,portero,16058000
S. Dimitrievski,97,portero,7511000
U. Simón,96,portero,10982000
G. Mamardashvili,95,portero,10247000
T. Stegen,95,portero,6248000
A. Remiro,90,portero,11957000
D. Soria,88,portero,10078000
F. Jörgensen,85,portero,10347000
J. Ledesma,85,portero,9994000
J. Oblak,78,portero,10879000
